date,rms,median,mean
2013-01-15 23:00:00,1.370189,43.729302,43.494273
2013-01-16 23:00:00,1.493442,42.664295,42.448314
2013-01-17 23:00:00,1.506008,43.585328,43.549563
2013-01-18 23:00:00,1.091891,44.545354,44.631075
2013-01-19 23:00:00,0.950466,43.782915,43.734670
2013-01-20 23:00:00,2.277078,42.330128,41.743609
2013-01-22 23:00:00,3.079196,42.283333,41.607780
2013-01-23 23:00:00,1.984092,38.992217,39.832329
2013-01-24 23:00:00,1.724513,39.217490,39.740039
2013-01-28 23:00:00,1.416157,42.140078,41.980572
2013-01-30 23:00:00,0.903207,43.620872,43.325621
2013-06-06 22:00:00,1.540898,45.805402,45.794469
2013-06-07 22:00:00,1.779817,46.444318,46.538862
2013-06-08 22:00:00,1.790690,45.935022,46.080049
2013-06-09 22:00:00,1.455016,46.462533,46.327967
2013-06-10 22:00:00,1.270024,46.454809,46.254921
2013-06-11 22:00:00,1.186478,46.561803,46.345091
2013-06-12 22:00:00,1.596080,47.107763,46.516769
2013-06-13 22:00:00,1.188815,46.679169,46.368297
2013-06-14 22:00:00,1.211533,46.736101,46.471059
2013-06-15 22:00:00,1.600299,46.115905,45.845872
2013-06-16 22:00:00,1.414042,46.372841,46.136973
2013-06-17 22:00:00,2.187177,47.137401,46.523064
2013-06-18 22:00:00,1.509576,46.529442,46.080319
2013-06-19 22:00:00,1.655899,45.990871,45.775087
2013-06-20 22:00:00,1.486116,45.748242,45.580462
2013-06-25 22:00:00,1.741228,45.937963,45.799042
2013-05-18 22:00:00,1.673653,46.770093,46.619133
2013-05-19 22:00:00,2.248880,46.490157,46.669599
2013-05-20 22:00:00,2.225996,48.019147,47.341592
2013-05-21 22:00:00,1.505699,47.220333,47.052154
2013-05-22 22:00:00,1.687585,46.905726,46.772789
2013-05-26 22:00:00,1.895125,45.432971,44.923664
2013-05-27 22:00:00,1.674566,45.083507,44.765625
2013-05-28 22:00:00,1.856046,45.088235,45.268910
2013-05-29 22:00:00,2.147399,45.354042,45.468976
2013-05-30 22:00:00,1.659645,47.049752,46.744035
2013-05-31 22:00:00,1.712508,46.971235,46.621410
2013-06-01 22:00:00,1.369440,46.990725,46.705556
2013-06-02 22:00:00,1.848324,47.039920,46.598001
2013-06-03 22:00:00,1.886373,46.806579,46.606149
2013-06-04 22:00:00,1.533178,45.992657,45.964001
2013-06-05 22:00:00,1.555017,47.148338,46.735793
2013-06-26 22:00:00,1.491912,45.843676,45.547299
2013-06-27 22:00:00,1.653842,45.428017,45.336578
2013-06-28 22:00:00,1.361113,45.726172,45.550847
2013-06-29 22:00:00,1.091462,46.010835,45.860790
2013-06-30 22:00:00,1.520323,45.776834,45.412142
2013-07-01 22:00:00,1.501216,45.597146,45.472784
2013-07-02 22:00:00,1.514323,45.850825,45.487234
2013-07-03 22:00:00,1.571393,45.526134,45.121461
2013-07-04 22:00:00,1.539132,46.175214,45.594570
2013-07-05 22:00:00,1.776787,45.819836,45.326842
2013-07-06 22:00:00,1.749272,45.125698,44.999283
2013-07-07 22:00:00,1.564198,45.626884,45.341823
2013-07-08 22:00:00,1.451822,45.875291,45.573822
2013-07-09 22:00:00,1.371343,46.063224,45.530282
2013-07-10 22:00:00,1.542158,45.898738,45.218802
2013-04-12 22:00:00,1.045613,48.625524,48.516138
2013-04-13 22:00:00,1.639726,47.832102,47.775326
2013-04-14 22:00:00,1.687492,47.802157,47.751484
2013-04-15 22:00:00,1.743469,48.149628,47.897422
2013-04-16 22:00:00,1.445250,48.272681,48.070413
2013-04-17 22:00:00,1.435599,47.735785,47.528675
2013-04-18 22:00:00,1.390337,47.820914,47.654997
2013-04-19 22:00:00,2.742348,47.055263,46.551797
2013-04-21 22:00:00,2.023615,43.849430,44.653140
2013-04-22 22:00:00,1.337931,43.890063,44.249344
2013-04-27 22:00:00,1.823426,47.646409,47.613828
2013-04-28 22:00:00,1.526944,47.513174,47.340794
2013-04-29 22:00:00,2.175792,47.678336,47.527604
2013-04-30 22:00:00,2.835344,47.121324,46.936764
